"genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"Rock","Tom Petty","Crawling Back To You","1JenqZNMU6unIwVWmoP3J0",49,0.056,0.615,305627,0.495,0.000801,"D",0.11,-9.53,"Minor",0.0291,115.089,"4/4",0.248
"Reggae","Ballyhoo!","Sandcastles","5NQaH4MR2Fckw3UYHUH4bN",28,2.51e-05,0.564,196602,0.846,5.93e-06,"C#",0.165,-5.877,"Major",0.0705,109.945,"4/4",0.786
"Rap","Migos","Higher We Go - Intro","43dOwOq0mB4i6j4SpcSkqC",60,0.0737,0.815,255849,0.551,0,"G#",0.216,-4.048,"Major",0.0936,152.001,"4/4",0.168
"Anime","Sponge","Plowed","3vaONhSGEscyYeYoGpMLW4",52,0.00252,0.412,197000,0.88,4.39e-05,"C#",0.09,-9.001,"Major",0.045,105.241,"4/4",0.234
"World","Bethel Music","God of the Redeemed","2L6ZBaZN1rfNVpVIiGgyHm",34,0.0137,0.286,368427,0.573,0,"B",0.137,-7.041,"Major",0.0313,143.832,"4/4",0.219
"Blues","Chris Cornell","You Know My Name - From ""Casino Royale"" Soundtrack","4MR9iW77LJoPPDjwAYbIZZ",50,0.0198,0.365,240227,0.863,0,"B",0.335,-3.328,"Minor",0.0443,137.469,"4/4",0.42
"Rock","Barbra Streisand","Evergreen (Love Theme from, ""A Star Is Born"")","2IcqY68BxP1ONPi3ME6aje",64,0.932,0.335,184800,0.303,0.0271,"A",0.0907,-10.943,"Major",0.0315,114.224,"4/4",0.186
"Country","Blood, Sweat & Tears","You've Made Me So Very Happy","1VL7DLieQaRCjAEj0Kdzju",48,0.33,0.411,255907,0.376,1.18e-06,"D#",0.722,-13.847,"Minor",0.043,96.094,"4/4",0.513
"Reggaeton","Arcangel","Millones","3AMjach3UjnwFdcx3q2hIF",58,0.064,0.858,334154,0.703,0,"B",0.121,-5.318,"Major",0.137,129.962,"4/4",0.293
"Hip-Hop","Watsky","Sloppy Seconds","0Vwfd6fxFrL3kCnZSJ9vid",59,0.207,0.74,245933,0.716,3.51e-06,"F#",0.0926,-5.796,"Minor",0.0609,117.977,"4/4",0.804
"Rap","ayokay","Queen (feat. Quinn XCII)","2lxW8vQ9Qjv0qeSQiIBOKJ",58,0.22,0.781,224707,0.619,0,"G",0.112,-6.616,"Major",0.0882,82.954,"4/4",0.391
"Anime","311","Self Esteem","6zXPfmbRwPKhDMQtZID9ed",48,0.00517,0.559,145831,0.938,0.000277,"C",0.272,-5.002,"Major",0.0702,109.983,"4/4",0.561
"Electronic","New Order","Bizarre Love Triangle","6wVViUl2xSRoDK2T7dMZbR",65,0.0804,0.613,263213,0.885,0.746,"A#",0.0997,-7.463,"Major",0.052,118.506,"4/4",0.919
"Electronic","Krovostok","Пожар","4ENZmRViFA40e6BjasWW9s",30,0.24,0.934,131955,0.486,0.0402,"D",0.113,-10.24,"Major",0.259,140.061,"4/4",0.0725
"Country","Bubba Sparxxx","Ms. New Booty","0k6HUzaRHpQ3eEWr1C7Esh",64,0.016,0.64,252653,0.62,0,"C#",0.0831,-5.931,"Major",0.416,129.37,"5/4",0.609
"Indie","Lord Echo","Low to the Street","6lzAGvpGoMJq3Y601qvqUa",58,0.212,0.782,308989,0.614,0.781,"G",0.16,-6.906,"Major",0.0475,97.575,"4/4",0.711
