"genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"Jazz","Nate Smith","Bounce: pts I + II","4CewWsIgEbKcSBtrgi0T9o",43,0.197,0.693,333240,0.569,0.513,"C#",0.056,-6.865,"Major",0.143,95.411,"4/4",0.598
"Hip-Hop","Young Money","Uoeno - Remix","2wtJbMAEeCICHkszAggSw4",57,0.232,0.815,229460,0.451,0,"A#",0.17,-8.977,"Minor",0.195,126.057,"4/4",0.41
"Rap","J. Cole","Deja Vu","6I6NX6tjGsxFAsIfGzY9lJ",74,0.361,0.653,264747,0.409,0.00012,"A",0.189,-11.446,"Major",0.421,174.324,"4/4",0.187
"World","Natalie Grant","Isn't He (This Jesus) [feat. Natalie Grant]","0AiQLGevpr9XOc9kIRjyuB",56,0.118,0.224,590437,0.467,0,"G#",0.0881,-7.287,"Major",0.0321,144.012,"4/4",0.0622
"Ska","Less Than Jake","City of Gainesville","3kjKE5qMHv79J8TYKYwLiK",21,0.321,0.729,113853,0.711,0.000161,"D#",0.121,-6.604,"Major",0.029,102.522,"4/4",0.955
"Reggae","Yellowman","Zunga Zeng","3yHkIvqpNoiMeloYol89kq",32,0.044,0.722,244480,0.58,3.94e-05,"A",0.081,-11.7,"Major",0.137,166.437,"4/4",0.516
"Classical","Johann Sebastian Bach","Violin Partita No. 1 in B Minor, BWV 1002: I. Allemanda","03BZDUiAzI4Pp39dyGTTbQ",24,0.993,0.256,302240,0.0407,0.351,"B",0.248,-21.358,"Minor",0.0602,76.11,"4/4",0.351
"Reggaeton","Daddy Yankee","Ya Va Sonando","34ExBHQHZi3ZQjDH4S1tb5",30,0.0151,0.85,103973,0.72,0,"A#",0.18,-8.916,"Minor",0.124,95.518,"4/4",0.911
"Comedy","Katt Williams","No Leashes on Kids","0JzhFBaFRIG2R01XSoEkeo",23,0.842,0.636,117107,0.955,0,"A",0.898,-9.925,"Major",0.943,78.588,"3/4",0.412
"Blues","Wild Party","Life's Too Short","21xou84xCn9aF4z2N5GzTK",54,0.0013,0.528,221627,0.851,0,"F#",0.0878,-5.187,"Major",0.029,93.02,"4/4",0.483
