"genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"Reggae","Chee","Get Hot - Noclu VIP","3qaEeQ73M4EZ9WdlhSdHHL",16,0.0785,0.777,213094,0.644,0.853,"F#",0.122,-7.606,"Minor",0.148,82.518,"4/4",0.415
"Rock","Blackberry Smoke","One Horse Town","5Y36csDNfP9gRThyyveiBT",51,0.281,0.599,256147,0.734,0,"C",0.119,-4.615,"Major",0.0355,118.928,"4/4",0.243
"Reggae","O Rappa","Intervalo entre carros - Ao vivo","79hzFMKFdk2TnuC9PVaMTA",57,0.566,0.639,345173,0.766,6.15e-05,"F",0.928,-6.884,"Minor",0.0341,100.394,"4/4",0.714
"Jazz","Johnny Mathis","It's Beginning to Look Like Christmas","4jwZZX8J8eN3w0FOK4FCI3",43,0.853,0.632,134760,0.329,0.000136,"G#",0.299,-14.811,"Major",0.044,110.773,"4/4",0.564
"Movie","Henri Salvador","Chanson de la petite fille dans la chambre vide - Version edit","31y8GKN6gRUhyGM9ROQvQu",24,0.215,0.342,137093,0.281,0,"D",0.244,-16.742,"Major",0.0396,100.774,"4/4",0.101
"Pop","Lil Jon & The East Side Boyz","Lovers And Friends","41PWz0hAiU9FqsmjR9Wh62",64,0.0541,0.675,260600,0.501,0,"A#",0.429,-6.183,"Major",0.22,139.861,"4/4",0.532
"Folk","Abigail Lapell","Down by the Water","4c5npp9gnwBHHyKnaqK2mD",59,0.933,0.632,175045,0.0807,4.81e-06,"A",0.101,-16.066,"Major",0.0329,93.925,"4/4",0.273
"Children’s Music","Solange","Closing: The Chosen Ones","2KdT8BSu7sViL2G5vQiWB6",47,0.964,0.402,42227,0.502,0.0828,"A",0.0885,-10.21,"Minor",0.079,66.066,"3/4",0.612
"Dance","Two Door Cinema Club","New Houses","2oJmogP5Oji56UmSh8gPeO",50,0.0325,0.406,199160,0.864,1.28e-05,"F#",0.121,-4.37,"Major",0.0421,144.91,"4/4",0.45
"Electronic","RL Grime","Era - 1788-L Remix","4lcNHlZZWpTV5rioov5t8t",55,0.000546,0.562,222968,0.95,0.00121,"F",0.0956,-2.315,"Major",0.201,155.169,"4/4",0.478
"Children’s Music","Tom Grennan","Aboard","30P4mjOqazLKIYfs5Rq3Hi",58,0.0798,0.636,233160,0.79,0,"C",0.0863,-3.513,"Minor",0.0276,93.019,"4/4",0.605
"Alternative","The Vaccines","Post Break-Up Sex","77GZxme1GMNbbooEH8nHNX",60,7.32e-05,0.402,174453,0.902,0.00465,"F",0.261,-4.115,"Major",0.0469,136.883,"4/4",0.569
"Anime","Can't Swim","""sometimes you meet the right people at the wrong times""","1J5WWo4zSTWIKD7VFr6wn4",48,0.000109,0.382,188994,0.851,3.73e-06,"E",0.335,-6.023,"Minor",0.08,197.883,"4/4",0.331
"Jazz","The Crusaders","Put It Where You Want It","0KyYrq0cy5Tqy0u56aDU7h",36,0.464,0.855,320253,0.422,0.912,"F",0.0873,-13.883,"Major",0.0379,126.58,"4/4",0.907
"Jazz","Nai Palm","Blackstar / Pyramid Song / Breathing Underwater","35UWvlbsmgszfUWllYv68B",38,0.874,0.433,550920,0.394,0,"B",0.108,-8.336,"Minor",0.036,121.638,"5/4",0.34
"Soundtrack","Junkie XL","In The Clouds","7vLH2hO3ydipEXTvLBeaI0",29,0.561,0.0812,236890,0.344,0.929,"C",0.181,-11.639,"Minor",0.0336,83.445,"3/4",0.0375
"Country","Craig Morgan","I'm Country","6za3XfGBnYrza9os6jZDQ5",34,0.433,0.653,199213,0.812,0,"A",0.313,-4.968,"Major",0.0438,140.066,"4/4",0.651
"Rock","Britt Nicole","Gold","2fdd8W8eTym1gWO1dl1nxo",57,0.0266,0.65,179334,0.819,0,"G#",0.348,-3.389,"Major",0.031,95.958,"4/4",0.895
"Classical","Gustav Mahler","Symphony No. 1 in D Major: 2. Kräftig bewegt","0tmr8PXnh9Ph5W6JedLMow",16,0.969,0.283,468893,0.168,0.802,"A",0.0766,-17.373,"Major",0.0477,172.559,"3/4",0.216
"Comedy","George Carlin","Jerry Hamza Interview - Bonus","23qPAlHPgWnaG2jUDkkc6q",17,0.705,0.718,477383,0.189,0,"A",0.106,-17.505,"Major",0.945,113.369,"3/4",0.541
"Soundtrack","Hans Zimmer","Creation Choral","0kVWFVIJT32AaY9LewneMb",24,0.674,0.085,128133,0.419,0.963,"D",0.115,-14.52,"Minor",0.0462,175.673,"4/4",0.0282
"Movie","Mike Douglas","Touch Hands On Christmas Morning","6g5IxZEZAyMIjOQKLueIot",0,0.616,0.481,130747,0.413,0,"A",0.554,-13.28,"Minor",0.087,190.168,"4/4",0.758
"Hip-Hop","Paris","ANGEL","6sGoExCdojOPgp67P1jqri",63,0.0484,0.649,113667,0.575,6.13e-06,"C",0.18,-5.889,"Major",0.0301,144.057,"4/4",0.215
"Anime","Reflection Eternal","Blast","1l7xvA5XajmKQDo1h8Vc3K",51,0.124,0.786,187027,0.738,0,"C",0.14,-5.621,"Major",0.389,93.758,"4/4",0.78
"Movie","Lea Salonga","Reflection - From ""Mulan""","7nxc2C20fNNmqg6QJZYGfA",13,0.769,0.253,146560,0.461,0.00571,"A",0.282,-6.326,"Major",0.0309,84.163,"4/4",0.0771
"Hip-Hop","XXXTENTACION","What in XXXTarnation","3wBAhQLR9VjWfyYO3u4oPR",67,0.174,0.853,164598,0.591,0,"G",0.0993,-5.583,"Major",0.179,119.088,"4/4",0.433
"Reggaeton","Brray","Bajo Sustancias (feat. Joyce Santana)","3pIzdwsT230ZXjLsCREHVa",22,0.479,0.705,260400,0.838,0,"A",0.0914,-3.975,"Minor",0.0289,99.961,"4/4",0.154
"Rap","A Boogie Wit da Hoodie","Money Over Everything","3QEF7zOUrhLz65F7oUftU6",58,0.377,0.646,211139,0.795,0,"C#",0.121,-10.298,"Major",0.324,133.624,"4/4",0.621
"Blues","MercyMe","Flawless","6wa4KnRz7LjGeMkpIa1mAI",56,0.208,0.499,255640,0.814,0,"A",0.0777,-2.543,"Major",0.0293,102.014,"4/4",0.509
"R&B","Quincy Mumford","Cruisin'","1daEIXiL7dKUl0X9UoJdKA",44,0.61,0.627,165373,0.315,0,"E",0.158,-9.74,"Major",0.0619,86.004,"4/4",0.219
"Blues","Counting Crows","Accidentally In Love","3OltYYcLZUhvho5QoRbUNr",63,0.0511,0.554,188387,0.923,1.51e-05,"G",0.191,-3.548,"Major",0.0376,137.939,"4/4",0.808
"Reggae","Israel Vibration","Dig Up The Ground","4uAIx57fOXHzGTM2sZNv04",34,0.118,0.867,267040,0.518,9.79e-05,"B",0.124,-7.377,"Major",0.0677,92.25,"4/4",0.688
"Reggae","Wayne Wonder","Saddest Day","4qaxWylitp9qvg0zsaEqeo",45,0.00165,0.767,223400,0.541,4.75e-06,"C#",0.29,-4.877,"Major",0.0766,169.068,"4/4",0.516
"Dance","Living In A Box","Living in a Box","2y5DTMrFIcZySlsIOL6N4N",56,0.245,0.635,186667,0.872,0.0637,"C",0.31,-12.744,"Major",0.0445,111.03,"4/4",0.927
"Comedy","Daniel Tosh","The Coprophagia Diet","4yo29DMbbp9gxYur7e5HtQ",38,0.804,0.513,461840,0.694,0,"C#",0.714,-11.219,"Major",0.953,68.65,"3/4",0.366
"Movie","Howard Ashman","Part of Your World","21RZPO97gTkp4JjrOdXmh9",3,0.942,0.305,187107,0.0986,0.5,"F",0.145,-20.098,"Major",0.0441,86.595,"3/4",0.268
"Anime","Theory of a Deadman","Not Meant To Be","5xyACR2lzIyzFepF4qlAas",57,0.00401,0.415,215400,0.781,0,"C#",0.126,-6.947,"Major",0.0357,142.966,"4/4",0.261
"Comedy","Leopoldo Fernández","Pasquinisidio","3Bw2JZW2NOhuLwOEaGzlgQ",18,0.931,0.535,857813,0.467,0,"F#",0.114,-12.9,"Major",0.689,85.877,"4/4",0.661
"Opera","Giuseppe Verdi","Rigoletto, Act IV: Lassù in cielo","3H3MN0fvC8jJxGLTqIqer9",17,0.978,0.2,179493,0.0855,0.0225,"F#",0.104,-24.471,"Minor",0.0595,171.425,"3/4",0.101
"Country","Granger Smith","Country Boy Love (feat. Earl Dibbles Jr.)","43IIpTvTyEEiDWQknIhngR",46,0.187,0.588,212907,0.795,0,"G",0.101,-5.267,"Major",0.0815,79.933,"4/4",0.725
"Rap","Yelawolf","Daddy's Lambo","49rnuaQOpoTeKe0PA5nKdo",59,0.0317,0.778,227573,0.71,0,"B",0.0812,-7.175,"Major",0.156,132.018,"4/4",0.329
"Country","Luke Bryan","Do I","7A5CReD6yWe0rrkJym34QI",61,0.257,0.581,239413,0.691,0,"A",0.11,-5.33,"Major",0.0333,137.985,"4/4",0.299
"Pop","DREAMERS","Sweet Disaster","7bEDDsy2LFC0KSqhZp5nPE",64,0.00877,0.518,205173,0.791,0,"C",0.0769,-2.407,"Major",0.0316,87.028,"4/4",0.434
"Rock","Joyce Manor","Constant Headache","6baeAT0jVAxvnLn8rIN50X",57,0.0467,0.41,184307,0.892,0,"B",0.246,-4.289,"Major",0.124,99.016,"4/4",0.451
"Pop","2 Chainz","Money In The Way","1Du1gIiBziiR6SUx3gnSvr",71,0.238,0.79,161653,0.793,2.14e-06,"G",0.305,-4.138,"Major",0.2,85.006,"4/4",0.584
"Folk","Chicago","Will You Still Love Me? - Remastered Version","3dn6qXlHYAQpOqMTWxkGOR",53,0.0896,0.493,252600,0.573,0,"C#",0.0413,-7.93,"Major",0.0282,77.126,"4/4",0.473
